अ	a
म ु ड़ ा	m u dxq aa
म ु ं ड ी क ो ट ा	m u N dx ii k o tx aa
म ु त ा ब ि क ़	m u t aa b i kq
म ु थ ू ट	m u th uu tx
म ु द ख े ड	m u d a kh ee dx
म ु द ् द त	m u d d a t
म ु न ा द ी	m u n aa d ii
म ु न ा फ ा	m u n aa ph aa
म ु न ि य ा	m u n i y aa
म ु न ् न ा	m u n n aa
म ु न ् न े	m u n n ee
म ु फ ् त	m u ph t
म ु ं ब ई	m u N b a ii
म ु ं ब ई त ल ं	m u N b a ii t a l a N
म ु ं ब ा द े व ी	m u N b aa d ee w ii
म ु ब ा र क	m u b aa r a k
म ु म क ि न	m u m k i n
म ु र झ ा	m u r jh aa
म ु र झ ा य ी	m u r jh aa y ii
म ु र ब ा ड	m u r a b aa dx
म ु र म ु र े	m u r m u r ee
म ु र ा द ा ब ा द	m u r aa d aa b aa d
म ु र ु ड	m u r u dx
म ु र ् ख	m u r kh
म ु र ् ग ी	m u r g ii
म ु र ् ग े	m u r g ee
म ु र ् त ि ज ा प ू र	m u r t i j aa p uu r
म ु र ् द ा	m u r d aa
म ु ल ा क ा त	m u l aa k aa t
म ु ल ा क ़ ा त ो ं	m u l aa kq aa t o N
म ु ल ा ज ि म	m u l aa j i m
म ु ल ी	m u l ii
म ु ल ु ं ड	m u l u N dx
म ु ळ श ी	m u lx a sh ii
म ु ं श ि य ा इ न	m u N sh i y aa i n
म ु ँ श ी	m u mq sh ii
म ु ं श ी	m u N sh ii
म ु ं श ी अ च ् छ ी	m u N sh ii a c ch ii
म ु ं श ी ऊ ँ ह	m u N sh ii uu mq h
म ु ं श ी ज ी	m u N sh ii j ii
म ु ं श ी ब ा त	m u N sh ii b aa t
म ु ं श ी ल ि य ा	m u N sh ii l i y aa
म ु श ् क ि ल	m u sh k i l
म ु स म ् म ा त	m u s m m aa t
म ु स ल म ा न	m u s l a m aa n
म ु स ल म ा न ो ं	m u s l a m aa n o N
म ु स ् क र ा ए	m u s k r aa ee
म ु स ् क र ा त े	m u s k r aa t ee
म ु स ् क र ा न े	m u s k r aa n ee
म ु स ् क र ा य े	m u s k r aa y ee
म ु स ् क ा न	m u s k aa n
म ु स ् क ु र ा ए	m u s k u r aa ee
म ु स ् क ु र ा त े	m u s k u r aa t ee
म ु स ् क ु र ा न े	m u s k u r aa n ee
म ु ँ ह	m u mq h
म ु ं ह	m u N h
म ु ह र	m u h a r
म ु ह र ् र म	m u h r r a m
म ु ह ू र ् त	m u h uu r t
म ू क	m uu k
म ू ँ ग फ ल ी	m uu mq g ph a l ii
म ू ड	m uu dx
म ू ँ द े	m uu mq d ee
म ू र ् ख	m uu r kh
म ू र ् ख त ा	m uu r kh t aa
म ू र ् ख े	m uu r kh ee
म ू र ् ख ो ं	m uu r kh o N
म ू र ् त ि	m uu r t i
म ू र ् त ि ज ा प ू र	m uu r t i j aa p uu r
म ू ल म	m uu l a m
म ू ल म ं त ् र	m uu l m a N t r
म ू ल ् य	m uu l y
म ू व ी	m uu w ii
म ू व ी झ	m uu w ii jh
म ू व ् ह	m uu w h
म ू स ल ा ध ा र	m uu s l aa dh aa r
म ृ त	m rq t
म ृ त क	m rq t a k
म ृ त ि	m rq t i
म ृ त ् य ु	m rq t y u
म ृ त ् य ु श ै य ा	m rq t y u sh ei y aa
म ृ द ं ग	m rq d a N g
म ृ द ं ग म	m rq d N g a m
म ृ द ु भ ा ष ी	m rq d u bh aa sx ii
म ॅ क	m ae k
म ॅ क ् स ि म ा	m ae k s i m aa
म ॅ ं ग ो	m ae N g o
म ॅ च	m ae c
म ॅ च ि ं ग	m ae c i N g
म ॅ ट ् र ी म ो न ी	m ae tx r ii m o n ii
म ॅ र ि क ो	m ae r i k o
म े	m ee
म े ं	m ee N
म े क	m ee k
म े क अ प	m ee k a a p
म े क र	m ee k a r
म े ग ा	m ee g aa
म े घ ा	m ee gh aa
म े घ ा ल य	m ee gh aa l a y
म े ज	m ee j
म े ज़ क ु र ् स ी	m ee jq k u r s ii
म े ट	m ee tx
म े ट ल ा इ फ	m ee tx a l aa i ph
म े ड ि क ल	m ee dx i k a l
म े ढ क	m ee dxh a k
म े ं ढ क	m ee N dxh a k
म े ढ क ो ं	m ee dxh k o N
म े ं ढ क ो ं	m ee N dxh k o N
म े द ि न ी प ु र	m ee d i n ii p u r
म े र ठ	m ee r a txh
म े र ा	m ee r aa
म े र ी	m ee r ii
म े र ू	m ee r uu
म े र े	m ee r ee
म े ल	m ee l
म े ल ा	m ee l aa
म े ल े	m ee l ee
म े ळ ा	m ee lx aa
म े ळ ा व ा	m ee lx aa w aa
म े व ा ड	m ee w aa dx
म े स े ज	m ee s ee j
म े स े ज े स	m ee s ee j ee s
म े ह न त	m ee h n a t
म े ह म ा न ो ं	m ee h m aa n o N
म े ह र ब ा न ी	m ee h r a b aa n ii
म े ह र ा	m ee h r aa
म े ह स ा ण ा	m ee h a s aa nx aa
म ै	m ei
म ै ं	m ei N
म ै क े न ि क ल	m ei k ee n i k a l
म ै ग ् स े स े	m ei g s ee s ee
म ै त ् र ी	m ai t r ii
म ै थ ् य ू	m ei th y uu
म ै द ा न	m ei d aa n
म ै न	m ei n
म ै न प त	m ai n a p a t
म ै न े	m ei n ee
म ै ं न े	m ei N n ee
म ै फ ि ल ी त	m ai ph i l ii t
म ै य ् य ा	m ei y y aa
म ै ल	m ei l
म ै स ू र	m ai s uu r
म ॉ ँ ग ी	m ax mq g ii
म ॉ ड ल	m ax dx a l
म ॉ ड ल ि ं ग	m ax dx l i N g
म ॉ ड ल ् स	m ax dx a l s
म ॉ न ् ट े	m ax n tx ee
म ॉ म	m ax m
म ॉ र ि श स	m ax r i sh a s
म ॉ र ी श स	m ax r ii sh a s
म ो ख ा ड ा	m o kh aa dx aa
म ो ग ा	m o g aa
म ो ज े ज ू त े	m o j ee j uu t ee
म ो ट र	m o tx a r
म ो ट र क ा र	m o tx r a k aa r
म ो ट र ् स	m o tx a r s
म ो ट ा	m o tx aa
म ो ट ी	m o tx ii
म ो ट े	m o tx ee
म ो ट े व ा ल े	m o tx ee w aa l ee
म ो ड	m o dx
म ो ढ े र ा	m o dxh ee r aa
म ो त ी ल ा ल	m o t ii l aa l
म ो त ी ह ा र ी	m o t ii h aa r ii
म ो द क ा ं च ी	m o d a k aa N c ii
म ो ब ा इ ल	m o b aa i l
म ो ब ा ई ल	m o b aa ii l
म ो म ब त ् त ि य ो ं	m o m b a t t i y o N
म ो र	m o r
म ो र ग ा व	m o r a g aa w
म ो र ा द ा ब ा द	m o r aa d aa b aa d
म ो र ा र ज ी	m o r aa r a j ii
म ो र ू	m o r uu
म ो र े न ा	m o r ee n aa
म ो ल	m o l
म ो ल त ो ल	m o l t o l
म ो ल ् ड ि ं ग	m o l dx i N g
म ो ल ् द ो व ा	m o l d o w aa
म ो ह	m o h
म ो ह ट ा द े व ी	m o h a tx aa d ee w ii
म ो ह न	m o h a n
म ो ह न द ा स	m o h n a d aa s
म ो ह र	m o h a r
म ो ह स ि न	m o h s i n
म ो ह ा ड ी त ी ल	m o h aa dx ii t ii l
म ो ह ि त	m o h i t
म ो ह ि त े	m o h i t ee
म ो ह ि न ी	m o h i n ii
म ो ह ो ळ च ् य ा	m o h o lx a c y aa
म ौ	m au
म ौ क ा	m ou k aa
म ौ क ़ ा	m ou kq aa
म ौ क े	m ou k ee
म ौ ज ू द	m ou j uu d
म ौ त	m ou t
म ौ न व ् र त	m ou n w r a t
म ौ ल व ी	m ou l w ii
म ौ स म	m ou s a m
म ौ स ी	m ou s ii
म ौ ह ल ् ल े	m ou h l l ee
म ् य ा न म ा र	m y aa n a m aa r
म ् य ु च ् य ु अ ल	m y u c y u a l
म ् य ु झ ि क	m y u jh i k
म ् य ू च ु अ ल	m y uu c u a l
म ् य ू ट	m y uu tx
म ् ह ण ज े	m h a nx a j ee
म ् ह ण त े	m h a nx a t ee
म ् ह ण ू न	m h a nx uu n
म ् ह स ा	m h a s aa
म ् ह ा ळ ो ब ा	m h aa lx o b aa
म ् ह ै स ू र	m h ai s uu r
य क ी न	y a k ii n
य क ़ ी न	y a kq ii n
य त ् न	y a t n
य ं त ् र न ौ क ा	y a N t r n ou k aa
य थ ा र ् थ	y a th aa r th
य थ ा श क ् त ि	y a th aa sh k t i
य ं द ा	y a N d aa
य द ा क द ा	y a d aa k d aa
य द ि	y a d i
य द ् य प ि	y a d y p i
य म ा ई	y a m aa ii
य म ु न ा	y a m u n aa
य म ु न ा न ग र	y a m u n aa n a g a r
य र	y a r
य व त म ा ळ	y a w a t a m aa lx
य श व ं त प ु र	y a sh a w a N t a p u r
य श व ं त र ा व	y a sh a w a N t a r aa w
य ह	y a h
य ह ा ँ	y a h aa mq
य ह ा ं	y a h aa N
य ह ी	y a h ii
य ह ी ं	y a h ii N
य ा	y aa
य ा आ ध ी	y aa aa dh ii
य ा च ा	y aa c aa
य ा ं च ा	y aa N c aa
य ा च ि क ा	y aa c i k aa
य ा ं च ी	y aa N c ii
य ा ं च े	y aa N c ee
य ा त ् र ा	y aa t r aa
य ा त ् र े च ी	y aa t r ee c ii
य ा द	y aa d
य ा द ो ं	y aa d o N
य ा न ि	y aa n i
य ा म ा ह ा	y aa m aa h aa
य ा य ल ा	y aa y a l aa
य ा र	y aa r
य ा र े	y aa r ee
य ु क ् त ि	y u k t i
य ु क ् र े न च ् य ा	y u k r ee n a c y aa
य ु ग	y u g
य ु द ् ध	y u d dh
य ु न ि ल ि व ् ह र	y u n i l i w h a r
य ु व क	y u w a k
य ु व त ी	y u w t ii
य ु व ा व स ् थ ा	y u w aa w s th aa
य ू	y uu
य ू ँ	y uu mq
य ू ं	y uu N
य ू ं क ि	y uu N k i
य ू क ो	y uu k o
य ू ट ी आ य	y uu tx ii aa y
य ू ट ् य ू ब	y uu tx y uu b
य ू न ि य न	y uu n i y a n
य ू न ि व र ् स ि ट ी	y uu n i w r s i tx ii
य ू न ी र ॉ य ल	y uu n ii r ax y a l
य ू ब ी आ य	y uu b ii aa y
य ू ल	y uu l
य ू स ी ए ल ए	y uu s ii ee l a ee
य े	y ee
य े ई ल	y ee ii l
य े ऊ	y ee uu
य े ड श ी	y ee dx a sh ii
य े ड े श ् व र ी च ी	y ee dx ee sh w a r ii c ii
य े ड ो ब ा च ी	y ee dx o b aa c ii
य े ण ा र	y ee nx aa r
य े ण ् य ा च ी	y ee nx y aa c ii
य े त ं	y ee t a N
य े त ी ल	y ee t ii l
य े त े	y ee t ee
य े त ो	y ee t o
य े थ ी ल	y ee th ii l
य े र म ा ळ ् य ा च ् य ा	y ee r a m aa lx y aa c y aa
य े ल ् ल ू	y ee l l uu
य े व त ी	y ee w a t ii
य े व ल ा	y ee w a l aa
य े स	y ee s
य ो ं	y o N
य ो ं क ि	y o N k i
य ो ग	y o g
य ो ग े श ् व र ी	y o g ee sh w a r ii
य ो ग ् य	y o g y
य ो ग ् य त ा	y o g y t aa
य ो ज न ा	y o j a n aa
य ो ज न ा	y o j n aa
य ो ज न ा ए ँ	y o j n aa ee mq
य ो ज न े	y o j a n ee
य ो र	y o r
य ौ न	y ou n
य ौ व न	y ou w a n
र ई स	r a ii s
र ई स ो ं	r a ii s o N
र क ा ब ि य ा ँ	r a k aa b i y aa mq
र क ् त ब ि ं द ु	r a k t b i N d u
र क ् ष ा	r a k sx aa
र ख	r a kh
र ख क र	r a kh k a r
र ख त ा	r a kh t aa
र ख त ी	r a kh t ii
र ख त े	r a kh t ee
र ख न ा	r a kh n aa
र ख न ी	r a kh n ii
र ख न े	r a kh n ee
र ख व ा ल े	r a kh w aa l ee
र ख ा	r a kh aa
र ख ि य े	r a kh i y ee
र ख ी	r a kh ii
र ख ू ँ	r a kh uu mq
र ख े	r a kh ee
र ख े ं	r a kh ee N
र ख ो	r a kh o
र ं ग	r a N g
र ग ड़ त ी	r a g dxq a t ii
र ग ड़ न े	r a g dxq a n ee
र ग ड़ े ं	r a g dxq ee N
र ं ग ढ ं ग	r a N g dxh a N g
र ं ग प ा र ा	r a N g a p aa r aa
र ं ग ब ि र ं ग ा	r a N g b i r a N g aa
र ं ग ब ि र ं ग ी	r a N g b i r a N g ii
र ं ग भ ू म ी	r a N g a bh uu m ii
र ं ग ा र े ड ् ड ी	r a N g aa r ee dx dx ii
र ं ग ि य ा	r a N g i y aa
र ं ग ी न	r a N g ii n
र ग े द न े	r a g ee d n ee
र ं ग ो ल ी	r a N g o l ii
र घ ु व ं श ी	r a gh u w a N sh ii
र च ा	r a c aa
र ज न ी	r a j n ii
र ज ि स ् ट ् र ी	r a j i s tx r ii
र ज ् ज ु	r a j j u
र ट त े	r a tx t ee
र ण	r a nx
र ण ज ी	r a nx a j ii
र ण भ ू म ि	r a nx bh uu m i
र त ज ग ा	r a t j a g aa
र त न ग ड	r a t a n a g a dx
र त ल ा म	r a t a l aa m
र त ् न ा ग ि र ी	r a t n aa g i r ii
र थ	r a th
र द ् द	r a d d
र न	r a n
र प ट	r a p a tx
र ़ फ ू च क ् क र	rq a ph uu c k k a r
र फ ् त ा र	r a ph t aa r
र ब र	r a b a r
र ब ा ळ े	r a b aa lx ee
र म ज ़ ा न	r a m jq aa n
र म ण ी क	r a m nx ii k
र व ळ न ा थ	r a w a lx a n aa th
र व ा न ा	r a w aa n aa
र श ् क	r a sh k
र श ् क ए ज न ा ँ	r a sh k a ee j n aa mq
र श ् म ि	r a sh m i
र स	r a s
र स स	r a s a s
र स ा त ल	r a s aa t a l
र स ा य न ी	r a s aa y a n ii
र स ा स ् व ा द न	r a s aa s w aa d a n
र स ो ई	r a s o ii
र स ो ई घ र	r a s o ii gh a r
र स ् म ो ं	r a s m o N
र स ् स ि य ा ँ	r a s s i y aa mq
र स ् स ी	r a s s ii
र ह	r a h
र ह क र	r ei h ei k a r
र ह त ा	r ei h ei t aa
र ह त ी	r ei h ei t ii
र ह त े	r ei h ei t ee
र ह न स ह न	r ei h ei n s ei h ei n
र ह न ा	r ei h ei n aa
र ह न े	r ei h ei n ee
र ह र ह	r ei h ei r a h
र ह स ् य	r ei h ei s y
र ह स ् य म य	r ei h ei s y m a y
र ह ा	r a h aa
र ह ि ए	r a h i ee
र ह ी	r a h ii
र ह ी ं	r a h ii N
र ह ू ँ	r ou h ou mq
र ह ू ँ ग ा	r ou h ou mq g aa
र ह ू ँ ग ी	r ou h ou mq g ii
र ह े	r a h ee
र ह े ं	r a h ee N
र ह े आ न न ् द	r a h ee aa n a n d
र ह े उ ँ	r a h ee u mq
र ह े ग ा	r a h ee g aa
र ह े ग ी	r a h ee g ii
र ह ो	r ou h ou
र ह ो ग े	r ou h ou g ee
र ा इ ट	r aa i tx
र ा ई	r aa ii
र ा उ ट र	r aa u tx a r
र ा उ ट र च ा	r aa u tx a r a c aa
र ा उ ट र च ् य ा	r aa u tx a r a c y aa
र ा ग	r aa g
र ा ं च ी	r aa N c ii
र ा ज	r aa j
र ा ज क ी य	r aa j k ii y
र ा ज क ो ट	r aa j a k o tx
र ा ज क ो ट	r aa j k o tx
र ा ज ग ी र	r aa j a g ii r
र ा ज ग ु र ू न ग र	r aa j a g u r uu n a g a r
र ा ं ज ण ग ा व	r aa N j a nx a g aa w
र ा ज ध ा न ी	r aa j dh aa n ii
र ा ज न ा ं द ग ा ं व	r aa j a n aa N d a g aa N w
र ा ज न ी त ि	r aa j n ii t i
र ा ज न ी त ि क	r aa j n ii t i k
र ा ज न े त ा	r aa j n ee t aa
र ा ज प ु र ो ह ि त	r aa j p u r o h i t
र ा ज म ु ं द ् र ी	r aa j a m u N d r ii
र ा ज र ा न ी स ी	r aa j r aa n ii s ii
र ा ज श ् र ी	r aa j a sh r ii
र ा ज स ् थ ा न	r aa j a s th aa n
र ा ज स ् थ ा न	r aa j s th aa n
र ा ज स ् व	r aa j a s w
र ा ज ा	r aa j aa
र ा ज ा प ू र	r aa j aa p uu r
र ा ज ी	r aa j ii
र ा ज ़ ी	r aa jq ii
र ा ज ू र	r aa j uu r
र ा ज े ं द ् र	r aa j ee N d r
र ा ज े ं द ् र न ग र	r aa j ee N d r a n a g a r
र ा ज े व ा ड ी	r aa j ee w aa dx ii
र ा ज ् य	r aa j y
र ा ज ् य ो ं	r aa j y o N
र ा ं झ ण ी	r aa N jh a nx ii
र ा त	r aa t
र ा त द ि न	r aa t d i n
र ा त भ र	r aa t bh a r
र ा त ि ब	r aa t i b
र ा त ् र ि	r aa t r i
र ा त ् र ी	r aa t r ii
र ा न ब ा ई	r aa n a b aa ii
र ा न ी	r aa n ii
र ा म	r aa m
र ा म च ं द ् र	r aa m c a N d r
र ा म ट े क	r aa m a tx ee k
र ा म ध न	r aa m dh a n
र ा म न ा थ ी	r aa m a n aa th ii
र ा म प ू र	r aa m a p uu r
र ा म ा	r aa m aa
र ा म े श ् व र	r aa m ee sh w a r
र ा म ् य ा	r aa m y aa
र ा य	r aa y
र ा य ग ड	r aa y a g a dx
र ा य ग ड ा	r aa y a g a dx aa
र ा य ड र ् स	r aa y a dx a r s
र ा य प ु र	r aa y a p u r
र ा य प ू र	r aa y a p uu r
र ा र	r aa r
र ा व े र	r aa w ee r
र ा श ी	r aa sh ii
र ा श ी च ं	r aa sh ii c a N
र ा ष ् ट ् र प त ि	r aa sx tx r p a t i
र ा ष ् ट ् र व ा द ी	r aa sx tx r w aa d ii
र ा ष ् ट ् र ा च ी	r aa sx tx r aa c ii
र ा ष ् ट ् र ा ल ा	r aa sx tx r aa l aa
र ा ष ् ट ् र ी य	r aa sx tx r ii y
र ा स ् त ा	r aa s t aa
र ा स ् त े	r aa s t ee
र ा स ् त े ं	r aa s t ee N
र ा ह	r aa h
र ा ह ण ् य ा च ी	r aa h a nx y aa c ii
र ा ह त	r aa h a t
र ा ह त ा	r aa h a t aa
र ा ह ी	r aa h ii
र ा ह ु र ी	r aa h u r ii
र ा ह ो ं	r aa h o N
र ि	r i
र ि ं ग ट ो न	r i N g a tx o n
र ि ं ग ण ग ा व ा च े	r i N g a nx a g aa w aa c ee
र ि ज	r i j
र ि ट ा य र	r i tx aa y a r
र ि ट ि श	r i tx i sh
र ि त ु	r i t u
र ि त ु व ो	r i t u w o
र ि न ् य ू	r i n y uu
र ि प ब ् ल ि क	r i p a b l i k
र ि प े य र	r i p ee y a r
र ि प ो र ् ट	r i p o r tx
र ि फ ् र ॅ क ् ट	r i ph r ae k tx
र ि म ू व ् ह	r i m uu w h
र ि य ा य त	r i y aa y a t
र ि य ा ल ि ट ी	r i y aa l i tx ii
र ि य ा ल ् ट ी	r i y aa l tx ii
र ि य ा स त	r i y aa s a t
र ि ल ा य न ् स	r i l aa y a n s
र ि व ् य ू	r i w y uu
र ि व ् ह य ू	r i w h a y uu
र ि श ् त ो ं	r i sh t o N
र ि श ् व त े ं	r i sh w t ee N
र ि स र ् च	r i s a r c
र ि स ो ड	r i s o dx
र ि स ् ट ा र ् ट	r i s tx aa r tx
र ि ह ा	r i h aa
र ि ह ा न ा	r i h aa n aa
र ी च ा र ् ज	r ii c aa r j
र ी ड	r ii dx
र ी फ ् र े श	r ii ph r ee sh
र ी ल ी ज	r ii l ii j
र ी स े ट	r ii s ee tx
र ु ई	r u ii
र ु क	r u k
र ु क क र	r u k k a r
र ु क न ा	r u k n aa
र ु क ा	r u k aa
र ु क ि ए र ु क ि ए	r u k i ee r u k i ee
र ु क ी	r u k ii
र ु क े	r u k ee
र ु क ो	r u k o
र ु ग ् ण ा ल य	r u g nx aa l a y
र ु च ि	r u c i
र ु ठ ी	r u txh ii
र ु प	r u p
र ु प न ग र	r u p a n a g a r
र ु प य ा	r u p y aa
र ु प य े	r u p y ee
र ु प य े म ा स ि क	r u p y ee m aa s i k
र ु प य ो ं	r u p y o N
र ु प य ् य ा	r u p y y aa
र ु प ा	r u p aa
र ू ई	r uu ii
र ू ख ा ई	r uu kh aa ii
र ू ख े	r uu kh ee
र ू ट	r uu tx
र ू ठ ी	r uu txh ii
र ू प	r uu p
र ू म	r uu m
र ू र क े ल ा	r uu r a k ee l aa
र ॅ ड ि स न	r ae dx i s a n
र े	r ee
र े क ॉ र ् ड	r ee k ax r dx
र े ख ा	r ee kh aa
र े ख ा ए ँ	r ee kh aa ee mq
र े ं ग त े	r ee N g t ee
र े ग ि स ् त ा न	r ee g i s t aa n
र े ं ज	r ee N j
र े ं ट ल	r ee N tx a l
र े ं ट ल ् स	r ee N tx a l s
र े ड	r ee dx
र े ड ि फ	r ee dx i ph
र े ड ि य ो	r ee dx i y o
र े ड ् ड ी ज	r ee dx dx ii j
र े ण ु क ा	r ee nx u k aa
र े ण ु क ा म ा त ा	r ee nx u k aa m aa t aa
र े त	r ee t
र े न े	r ee n ee
र े म ं ड	r ee m a N dx
र े ल	r ee l
र े ल ग ा ड ़ ि य ा ँ	r ee l g aa dxq i y aa mq
र े ल ग ा ड ी	r ee l g aa dx ii
र े ल व े	r ee l w ee
र े ल े व ग ा ड य ा	r ee l ee w a g aa dx a y aa
र े ल ो ं	r ee l o N
र े ल ् व े	r ee l w ee
र े ल ् व े ग ा ड ी	r ee l w ee g aa dx ii
र े ल ् व े ग ा ड ् य ा	r ee l w ee g aa dx y aa
र े ल ् व े ग ा ड ् य ा ं	r ee l w ee g aa dx y aa N
र े ल ् व े द ् व ा र े	r ee l w ee d w aa r ee
र े ल ् व े स े व ा	r ee l w ee s ee w aa
र े व ड ़ ि य ा ँ	r ee w dxq i y aa mq
र े व ड ़ ी	r ee w dxq ii
र े व द ं ड ा	r ee w a d a N dx aa
र े व ा	r ee w aa
र े श म	r ee sh a m
र े स	r ee s
र े स ि प ी	r ee s i p ii
र े स ् ट ो र ं ट	r ee s tx o r a N tx
र े ह न न ा म े	r ee h n a n aa m ee
र ै ब ि ट	r ei b i tx
र ै म न	r ei m a n
र ॉ य ल	r ax y a l
र ॉ य ल ् स	r ax y a l s
र ो	r o
र ो क	r o k
र ो क ड ़	r o k a dxq
र ो क ड े श ् व र	r o k a dx ee sh w a r
र ो क न े	r o k n ee
र ो क ा	r o k aa
र ो क े	r o k ee
र ो ग	r o g
र ो ं ग ट े	r o N g tx ee
र ो ग़ न ज ो श	r o gq n a j o sh
र ो ग ि ण ी	r o g i nx ii
र ो च क	r o c a k
र ो ज	r o j
र ो ज़	r o jq
र ो ज ़ ा	r o jq aa
र ो ज ो ं	r o j o N
र ो झ	r o jh
र ो ट ि य ा ँ	r o tx i y aa mq
र ो ट ि य ो ं	r o tx i y o N
र ो ट ी	r o tx ii
र ो ट ी क प ड ़ ा	r o tx ii k p a dxq aa
र ो ट ी द ा ल	r o tx ii d aa l
र ो ड	r o dx
र ो त े	r o t ee
र ो त े ब ि ल ख त े	r o t ee b i l kh a t ee
र ो त े र ो त े	r o t ee r o t ee
र ो द न	r o d a n
र ो न ा	r o n aa
र ो न े	r o n ee
र ो म	r o m
र ो म ा ं च	r o m aa N c
र ो म ा ं च क	r o m aa N c a k
र ो म ा ं च ि त	r o m aa N c i t
र ो य ा	r o y aa
र ो य ी	r o y ii
र ो र ो	r o r o
र ो श न ी	r o sh n ii
र ो ष	r o sx
र ो ह त क	r o h a t a k
र ो ह न	r o h a n
र ो ह ा	r o h aa
र ौ न क	r ou n a k
र ौ ब	r ou b
र ौ ल ट	r ou l a tx
र ौ श न ी	r ou sh n ii
ल	l
ल क ड़ ि य ो ं	l a k dxq i y o N
ल क ड ़ ी	l a k dxq ii
ल ं क ा श ा य र	l a N k aa sh aa y a r
ल क ् ष ण	l a k sx a nx
ल क ् ष ण ो ं	l a k sx nx o N
ल क ् ष द ् व ी प	l a k sx a d w ii p
ल क ् ष ् म ी	l a k sx m ii
ल ख न ऊ	l a kh n a uu
ल ख न ौ	l a kh a n au
ल ख ी म प ु र	l a kh ii m a p u r
ल ग	l a g
ल ँ ग ड़ ा त े	l a mq g dxq aa t ee
ल ं ग ड ी	l a N g a dx ii
ल ग त ा	l a g t aa
ल ग त ी	l a g t ii
ल ग त े	l a g t ee
ल ग न	l a g a n
ल ग न े	l a g n ee
ल ग भ ग	l a g bh a g
ल ग व ा	l a g w aa
ल ग व ा इ ए ग ा	l a g w aa i ee g aa
ल ग ा	l a g aa
ल ग ा ऊ	l a g aa uu
ल ग ा ऊ ँ	l a g aa uu mq
ल ग ा ए	l a g aa ee
ल ग ा ओ	l a g aa o
ल ग ा ओ ग े	l a g aa o g ee
ल ग ा क र	l a g aa k a r
ल ग ा त ा	l a g aa t aa
ल ग ा त ा र	l a g aa t aa r
ल ग ा त े	l a g aa t ee
ल ग ा न ा	l a g aa n aa
ल ग ा न े	l a g aa n ee
ल ग ा य ा	l a g aa y aa
ल ग ा य ी	l a g aa y ii
ल ग ा य े	l a g aa y ee
ल ग ा व	l a g aa w
ल ग ी	l a g ii
ल ग ी ं	l a g ii N
ल ग ी उ स	l a g ii u s
ल ग ी न ि ग ो ड े ़	l a g ii n i g o dx ee
ल ग ू ँ	l a g uu mq
ल ग े	l a g ee
ल ग े ं	l a g ee N
ल ग े अ भ ा ग े	l a g ee a bh aa g ee
ल ग े ग ा	l a g ee g aa
ल ग े ं ग े	l a g ee N g ee
ल ग े च	l a g ee c
ल ग े म ु झ स े	l a g ee m u jh s ee
ल ग े म ै ं	l a g ee m ei N
ल ग े य ह	l a g ee y a h
ल ग ो र ् य ा	l a g o r y aa
ल ग ् न	l a g n
ल ग ् न ा त	l a g n aa t
ल ज ् ज ा	l a j j aa
ल ज ् ज ा व त ी	l a j j aa w t ii
ल ज ् ज ा श क ् त ि	l a j j aa sh k t i
ल ट क	l a tx a k
ल ट क े	l a tx k ee
ल ड ़	l a dxq
ल ड़	l a dxq
ल ड ़ क प न	l a dxq k a p a n
ल ड ़ क र	l a dxq k a r
ल ड ़ क ा	l a dxq k aa
ल ड ़ क ि य ो ं	l a dxq k i y o N
ल ड ़ क ी	l a dxq k ii
ल ड़ क ी	l a dxq k ii
ल ड ़ क े	l a dxq k ee
ल ड़ क े	l a dxq k ee
ल ड ़ क ो ं	l a dxq k o N
ल ड़ क ो ं	l a dxq k o N
ल ड ़ न ा	l a dxq n aa
ल ड ़ न े	l a dxq n ee
ल ड ़ ा	l a dxq aa
ल ड ़ ा ई	l a dxq aa ii
ल ड़ ा ई	l a dxq aa ii
ल ड ा ख	l a dx aa kh
ल ड ़ ी	l a dxq ii
ल ड ू ँ ग ी	l a dx uu mq g ii
ल ड़ े	l a dxq ee
ल ड ़ े ं	l a dxq ee N
ल ड़ ो ग े	l a dxq o g ee
ल ड ् ड ू	l a dx dx uu
ल त ा	l a t aa
ल ं द न	l a N d a n
ल प क	l a p a k
ल प क त े	l a p k a t ee
ल प क ा	l a p k aa
ल प े ट	l a p ee tx
ल प े ट क र	l a p ee tx k a r
ल प े ट ो	l a p ee tx o
ल ब र े ज	l a b r ee j
ल ं ब ा	l a N b aa
ल ं ब ी	l a N b ii
ल ं ब े	l a N b ee
ल म ् ब ा	l a m b aa
ल म ् ब ी	l a m b ii
ल म ् ब े	l a m b ee
ल ल क ा र	l a l k aa r
ल ल च ा ई	l a l c aa ii
ल ल ि त ा	l a l i t aa
ल व क र	l a w a k a r
ल व े ब ल	l a w ee b a l
ल ह ज े	l ei h ei j ee
ल ह र ा	l ei h ei r aa
ल ह र ा य ा	l ei h ei r aa y aa
ल ह र े ं	l ei h ei r ee N
ल ह र ो ं	l ei h ei r o N
ल ा	l aa
ल ा इ ए	l aa i ee
ल ा इ क	l aa i k
ल ा इ ट	l aa i tx
ल ा इ न ् स	l aa i n s
ल ा इ फ	l aa i ph
ल ा इ फ क े अ र	l aa i ph a k ee a r
ल ा इ व	l aa i w
ल ा इ व ् ह	l aa i w h
ल ा ई	l aa ii
ल ा ई फ	l aa ii ph
ल ा ई म र ो ड	l aa ii m a r o dx
ल ा ई व	l aa ii w
ल ा ए	l aa ee
